DEBUG 2024-12-06 14:16:03,685 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\core\files\base.py first seen with mtime 1730002025.7306986
DEBUG 2024-12-06 14:16:03,685 autoreload File C:\Python\Lib\json\decoder.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,685 autoreload File C:\Python\Lib\email\encoders.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,685 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1730002024.0058644
DEBUG 2024-12-06 14:16:03,686 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\urllib3\util\response.py first seen with mtime 1731273656.6407697
DEBUG 2024-12-06 14:16:03,686 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1730002025.7822146
DEBUG 2024-12-06 14:16:03,686 autoreload File C:\Python\Lib\unittest\suite.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,686 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\idna\package_data.py first seen with mtime 1731273656.9808517
DEBUG 2024-12-06 14:16:03,686 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1730002025.8457336
DEBUG 2024-12-06 14:16:03,687 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\db\models\options.py first seen with mtime 1730002025.829226
DEBUG 2024-12-06 14:16:03,687 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1730002025.728697
DEBUG 2024-12-06 14:16:03,687 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\rest_framework\utils\timezone.py first seen with mtime 1730002032.9954307
DEBUG 2024-12-06 14:16:03,687 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1730002025.981268
DEBUG 2024-12-06 14:16:03,688 autoreload File C:\Python\Lib\asyncio\base_tasks.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,688 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1730002025.0779984
DEBUG 2024-12-06 14:16:03,688 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\urls\resolvers.py first seen with mtime 1730002025.9427567
DEBUG 2024-12-06 14:16:03,688 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\template\backends\django.py first seen with mtime 1730002025.9247513
DEBUG 2024-12-06 14:16:03,688 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\rest_framework\validators.py first seen with mtime 1730002032.8523993
DEBUG 2024-12-06 14:16:03,689 autoreload File C:\Python\Lib\socket.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,689 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\pymysql\constants\FIELD_TYPE.py first seen with mtime 1730002345.7208848
DEBUG 2024-12-06 14:16:03,689 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\views\static.py first seen with mtime 1730002025.973267
DEBUG 2024-12-06 14:16:03,689 autoreload File C:\Python\Lib\asyncio\queues.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,689 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\backend\manage.py first seen with mtime 1733331095.7453907
DEBUG 2024-12-06 14:16:03,690 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\rest_framework_simplejwt\utils.py first seen with mtime 1730220942.9378545
DEBUG 2024-12-06 14:16:03,690 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1730002022.5844474
DEBUG 2024-12-06 14:16:03,690 autoreload File C:\Python\Lib\asyncio\base_subprocess.py first seen with mtime 1712688618.0
